"Ad name","Delivery status","Delivery level","Ad set name","Ad name","Attribution setting","Amount spent (PLN)",Purchases,"Purchases conversion value","Cost per purchase","Koszulkowy Contribution Profit (7 Days Attribution) (PLN)","Result value type","Results ROAS","Average purchases conversion value","Purchases rate per link clicks","Purchases rate per landing page views","Checkouts initiated","Checkouts initiated conversion value","Cost per checkout initiated","Adds to cart","Adds to cart conversion value","Cost per add to cart","Landing page views","App landing page views","Website landing page views","Cost per landing page view","Landing Page Views / Outbound Clicks Rate","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Hook Rate","Hold Rate","CPM (cost per 1,000 impressions)","Quality ranking","Engagement rate ranking","Conversion rate ranking","Link (ad settings)","Body (ad settings)","Reporting starts","Reporting ends"
"Bluza dziecięca 35419",inactive,ad,"10.Viral trend__115_ 70_PL","Bluza dziecięca 35419","7-day click, 1-day view or 1-day engaged view",705.2,14,1669.8,50.37142857,-8.77121951,"Website purchases conversion value",2.36783891,119.27142857,1.08108108,1.27737226,81,9844.74,8.70617284,62,4807.67,11.37419355,1096,,1096,0.64343066,0.84764114,1295,0.54455598,1.00398493,0,,5.46726001,-,-,-,https://koszulkowy.pl/35419-szkola-jest-wazna.html,"Szkoła jest ważna, ale Roblox jest ważniejszy - dziecięca bluza na prezent dla fanów gry Roblox. 🎮 Wyróżnij swojego małego gracza na szkolnym korytarzu! 🏫🎁 Zobacz cenę 👉 https://koszulkowy.pl/35419-szkola-jest-wazna.html",2026-01-01,2026-01-31
"Six seven 36550 bluza film – kopia",not_delivering,ad,"CKW Six seven 36547","Six seven 36550 bluza film – kopia","7-day click, 1-day view or 1-day engaged view",649.26,21,2752.14,30.91714286,498.5837561,"Website purchases conversion value",4.23888735,131.05428571,2.91262136,3.72340426,94,11980.19,6.90702128,81,6026.26,8.01555556,564,,564,1.15117021,0.88679245,721,0.90049931,1.04483668,0.11303365,0.22769231,9.40874707,"Above average",Average,Average,https://koszulkowy.pl/36550-six-seven.html,"Six seven 67 - Italian Brainrot - bluza idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36550-six-seven.html",2026-01-01,2026-01-31
"Six seven 36547 koszulka film",not_delivering,ad,"Italian Brainrot 67","Six seven 36547 koszulka film","7-day click, 1-day view or 1-day engaged view",645.12,20,2418.8,32.256,363.69658537,"Website purchases conversion value",3.74937996,120.94,2.73597811,3.5335689,114,12858.5,5.65894737,72,4736.2,8.96,566,,566,1.13978799,0.87888199,731,0.8825171,1.43917469,0.12259563,0.16026979,12.70096273,Average,-,-,https://koszulkowy.pl/36547-six-seven.html,"Six seven 67 - Italian Brainrot - koszulka idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36547-six-seven.html",2026-01-01,2026-01-31
"67 kask 37880",active,ad,"3.Sentymentalna Opiekunka__115__37__PL__*","67 kask 37880","7-day click, 1-day view or 1-day engaged view",486.26,15,1699.5,32.41733333,222.55585366,"Website purchases conversion value",3.4950438,113.3,3.82653061,4.37317784,73,9499.4,6.66109589,55,3567.4,8.84109091,343,,343,1.41766764,0.875,392,1.24045918,0.610668,0,,7.57508724,"Above average","Above average","Above average",https://koszulkowy.pl/37880-six-seven-67-.html,"Six Seven 67 - dziecięca koszulka na prezent - inspirowane Roblox. Doskonały wybór dla małych fanów kreatywności i przygód w świecie Roblox! 🎮 Zobacz więcej ➡️ https://koszulkowy.pl/37880-six-seven-67-.html",2026-01-01,2026-01-31
"Beztroskie lata",inactive,ad,"Rolka branding","Beztroskie lata","7-day click, 1-day view or 1-day engaged view",469.53,19,2155.97,24.71210526,429.6672439,"Website purchases conversion value",4.59176197,113.47210526,2.19907407,3.07443366,74,8247.71,6.345,63,3861.61,7.45285714,618,,618,0.75975728,0.72196262,864,0.5434375,1.10992639,0.01580104,0.35284553,6.03175623,Average,"Above average","Above average",https://koszulkowy.pl/,"Jak wygląda 6:00 rano teraz, a jak wyglądała kiedyś... przepaść niesamowita. 🥹

Często chodzicie na jakieś imprezy? Koniecznie dajcie znać w komentarzach! 

Zaobserwuj nasz profil! 💙
#korpohumor #workvibes #życiewpracy #workbestie #młodość",2026-01-01,2026-01-31
"Zajęty nauczycielka 5409 – kopia – kopia – Copy",inactive,ad,"8.Pragmatyczny Śmieszek__80_ 70_PL","Zajęty nauczycielka 5409 – kopia – kopia – Copy","7-day click, 1-day view or 1-day engaged view",465.97,7,538.81,66.56714286,-241.24680488,"Website purchases conversion value",1.15631908,76.97285714,0.66666667,0.76335878,64,5208.74,7.28078125,36,2421.56,12.94361111,917,,917,0.50814613,0.87667304,1050,0.44378095,1.39919779,0,,6.20937329,Average,"Above average","Above average",https://koszulkowy.pl/5409-przykro-mi-jestem-juz-zajety.html,"Przykro mi - jestem już zajęty przez atrakcyjną nauczycielkę 👩‍🏫💞
Nie przegap okazji!👕❗
Kup teraz ➡️  https://koszulkowy.pl/5409-przykro-mi-jestem-juz-zajety.html",2026-01-01,2026-01-31
"Dziadek traktor 12437",inactive,ad,"A+ Babcia i Dziadek filmy","Dziadek traktor 12437",Incremental,434.41,20,1945.4,21.7205,376.96414634,"Website purchases conversion value",4.47825787,97.27,4.66200466,5.12820513,76,8649.01,5.71592105,99,6667.33,4.3879798,390,,390,1.11387179,0.91549296,429,1.01261072,0.68804029,0.13181825,0.07324492,6.96716973,"Above average",Average,"Above average",https://koszulkowy.pl/12437-dziadek-traktorem.html,"Najlepszy dziadek jeździ traktorem. 💚
Szukasz prezentu, który wywoła uśmiech na twarzy Dziadka? Odwiedź naszą stronę, tam z pewnością znajdziesz coś idealnego! 👉 https://koszulkowy.pl/12437-dziadek-traktorem.html",2026-01-01,2026-01-31
"Babcia i dziadek - VIDEO UNBOXING KOLEKCJA",inactive,ad,"DPA CKW Babcia i Dziadek VIDEO","Babcia i dziadek - VIDEO UNBOXING KOLEKCJA","7-day click, 1-day view or 1-day engaged view",413.66,10,1316.4,41.366,135.37512195,"Website purchases conversion value",3.18232365,131.64,1.87617261,4.21940928,47,6112.18,8.8012766,39,2641.7,10.60666667,237,,237,1.74540084,1.15048544,533,0.77609756,1.47977456,0.20775146,0.17025257,11.48449429,-,-,-,https://fb.com/canvas_doc/990108150846534,"Sprawdź pełną ofertę prezentów dla Babci i Dziadka 💝
👉 https://koszulkowy.pl/
Zamów i przekonaj się dlaczego nas chwalą :)",2026-01-01,2026-01-31
"Six seven 36547 koszulka film – kopia",not_delivering,ad,"CKW Six seven 36547","Six seven 36547 koszulka film – kopia","7-day click, 1-day view or 1-day engaged view",299.32,8,1086.2,37.415,153.70487805,"Website purchases conversion value",3.62889216,135.775,2.15633423,2.69360269,77,8206.28,3.88727273,41,2509.59,7.3004878,297,,297,1.00781145,0.88130564,371,0.80679245,1.6652453,0.11670183,0.20769231,13.43507339,Average,Average,"Above average",https://koszulkowy.pl/36547-six-seven.html,"Six seven 67 - Italian Brainrot - koszulka idealna na prezent! 🎁
Kup teraz 👉 https://koszulkowy.pl/36547-six-seven.html",2026-01-01,2026-01-31
"Przyprawnik babci imię - 19430",inactive,ad,"Babcia (Różne)","Przyprawnik babci imię - 19430","7-day click, 1-day view or 1-day engaged view",284.47,10,1223.4,28.447,225.77731707,"Website purchases conversion value",4.30062924,122.34,1.81818182,2.17864924,87,8991.53,3.26977011,44,2954.5,6.46522727,459,,459,0.61976035,0.83454545,550,0.51721818,1.36037596,0,,7.0361118,Average,Average,Average,https://koszulkowy.pl/19430-przyprawy-babci.html,"NOWOŚĆ!! 😍 Prezent potrzebny każdej babci 
🥗 Zamów stojak na przyprawy i dodaj imię babci 👉 https://koszulkowy.pl/19430-przyprawy-babci.html 
99% zamówień wysyłamy w 24h 🎁",2026-01-01,2026-01-31
"Ranczo Karuzela Baner - Copy",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Ranczo Karuzela Baner - Copy","7-day click, 1-day view or 1-day engaged view",234.44,6,505.71,39.07333333,-23.52192683,"Website purchases conversion value",2.15709776,84.285,1.45631068,1.99335548,48,4290.25,4.88416667,25,1407.11,9.3776,301,,301,0.77887043,0.7581864,412,0.56902913,0.71571267,6.949E-5,0,4.07261357,-,-,-,https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,"🎊 Dni Wilkowyj – czas na zakupy! 🎊 Czekają na Ciebie wielkie Rabaty i Promocje – tylko przez chwilę!  https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo 🎁",2026-01-01,2026-01-31
"Szkolenie nowego pracownika",inactive,ad,"Rolka branding","Szkolenie nowego pracownika","7-day click, 1-day view or 1-day engaged view",231.07,7,837.27,33.01,118.13285366,"Website purchases conversion value",3.62344744,119.61,1.95530726,3.125,46,5473.55,5.02326087,26,1187.14,8.88730769,224,,224,1.0315625,0.63098592,358,0.64544693,1.1920618,0.03942461,0.29814189,7.69412627,Average,"Above average",Average,https://koszulkowy.pl/,"Nie oszukujmy się, procedury to jedno, a szybkie i sprytne wykonanie pracy to drugie. 😅🤣

Jak to u was wygląda? Trzymacie się procedur czy przestrzegacie swoich własnych? 

Koniecznie zostaw likea i zaobserwuj nasz profil! 💙",2026-01-01,2026-01-31
"Dziadek Sp. z o. o. 16031",inactive,ad,"CKW Dziadek - 12/01 MIN 20zł","Dziadek Sp. z o. o. 16031","7-day click or 1-day view",228.18,12,1686.94,19.015,475.39741463,"Website purchases conversion value",7.39302305,140.57833333,4,4.31654676,59,7494.47,3.86745763,50,3380.12,4.5636,278,,278,0.82079137,0.92666667,300,0.7606,1.20816721,0,,9.1893198,Average,Average,"Above average",https://koszulkowy.pl/16031-dziadek-sp-z-oo.html,"Dziadek Sp z o.o. 📊🤩
Zobacz nasze prezenty dla wyjątkowego dziadka  🧓😍
Kup teraz ✅  https://koszulkowy.pl/16031-dziadek-sp-z-oo.html",2026-01-01,2026-01-31
"67 kask 37880",inactive,ad,"7.Viral Trends__115_ 42_PL","67 kask 37880","7-day click, 1-day view or 1-day engaged view",211.1,4,428.9,52.775,-32.21731707,"Website purchases conversion value",2.03173851,107.225,2.25988701,2.5477707,26,2661.9,8.11923077,25,1518,8.444,157,,157,1.34458599,0.88700565,177,1.19265537,0.53345389,0,,6.36226643,Average,"Above average","Above average",https://koszulkowy.pl/37880-six-seven-67-.html,"Six Seven 67 - dziecięca koszulka na prezent - inspirowane Roblox. Doskonały wybór dla małych fanów kreatywności i przygód w świecie Roblox! 🎮 Zobacz więcej ➡️ https://koszulkowy.pl/37880-six-seven-67-.html",2026-01-01,2026-01-31
"Ranczo Karuzela Baner",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Ranczo Karuzela Baner","7-day click, 1-day view or 1-day engaged view",210.51,6,482.09,35.085,-9.44319512,"Website purchases conversion value",2.29010498,80.34833333,1.70454545,2.40963855,37,2866.9,5.68945946,22,1048.4,9.56863636,249,,249,0.84542169,0.73020528,352,0.59803977,0.6245121,3.548E-5,0,3.73483074,-,-,-,https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,"🎊 Dni Wilkowyj – czas na zakupy! 🎊 Czekają na Ciebie wielkie Rabaty i Promocje – tylko przez chwilę!  https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo 🎁",2026-01-01,2026-01-31
"Bluza dziecięca 35419",inactive,ad,"12.Viral Trend__140_70_PL","Bluza dziecięca 35419","7-day click, 1-day view or 1-day engaged view",205.15,,,,-205.15,,,,0,0,2,139.5,102.575,6,447.41,34.19166667,225,,225,0.91177778,0.79787234,283,0.72491166,0.8016543,0,,5.81128548,-,-,-,https://koszulkowy.pl/35419-szkola-jest-wazna.html,"Szkoła jest ważna, ale Roblox jest ważniejszy - dziecięca bluza na prezent dla fanów gry Roblox. 🎮 Wyróżnij swojego małego gracza na szkolnym korytarzu! 🏫🎁 Zobacz cenę 👉 https://koszulkowy.pl/35419-szkola-jest-wazna.html",2026-01-01,2026-01-31
"Ranczo Wilkowyje 35119 - Copy 2",inactive,ad,"13.Pragmatyczny Śmieszek__100_59_PL","Ranczo Wilkowyje 35119 - Copy 2","7-day click, 1-day view or 1-day engaged view",198.27,2,222.71,99.135,-105.38363415,"Website purchases conversion value",1.12326625,111.355,0.57142857,0.74349442,17,3959.71,11.66294118,14,1225.21,14.16214286,269,,269,0.7370632,0.76857143,350,0.56648571,0.81270608,0,,4.60386384,-,-,-,https://koszulkowy.pl/35119-wilkowyje-city-v2.html,"Wilkowyje City V2 - męska bluza na prezent dla fanów Rancza. 🌾 
Podaruj jako prezent komuś albo samemu sobie! 😊
Kup teraz 👉 https://koszulkowy.pl/35119-wilkowyje-city-v2.html",2026-01-01,2026-01-31
"Nauczyciele - Przykro mi zajęty R2 5409",inactive,ad,"CKW - Nauczyciele - 5409 - 28","Nauczyciele - Przykro mi zajęty R2 5409","7-day click",193.31,3,261.89,64.43666667,-84.08270732,"Website purchases conversion value",1.35476695,87.29666667,0.56925996,0.64794816,29,2243.98,6.66586207,26,1681.69,7.435,463,,463,0.4175162,0.87855787,527,0.36681214,2.04477554,0,,7.500485,"Above average","Above average",Average,https://koszulkowy.pl/5409-przykro-mi.html,"Ta koszulka przyda Ci się na prezent 👕🎁

Przykro mi - jestem już zajęty przez atrakcyjną nauczycielkę 🥰👩‍❤️‍👨

Kup teraz  ▶ https://koszulkowy.pl/5409-przykro-mi.html",2026-01-01,2026-01-31
"F0 zamów do 14.00 Film Kolekcja",inactive,ad,"F0 zamów do 14:00","F0 zamów do 14.00 Film Kolekcja","7-day click, 1-day view or 1-day engaged view",190.98,3,203.29,63.66,-106.19319512,"Website purchases conversion value",1.06445701,67.76333333,2.27272727,11.11111111,14,932.2,13.64142857,6,276.3,31.83,27,,27,7.07333333,0.675,132,1.44681818,0.70392491,0.13203925,0.1223748,10.18451365,Average,Average,"Below average – bottom 35% of ads",https://fb.com/canvas_doc/1549633193016913,"Zamów dziś - odbierz jutro! 📦
Tak, to możliwe z Koszulkowy.pl! Jeśli złożysz zamówienie do godziny 14:00, Twoja paczka trafi do Ciebie już następnego dnia. 😊
Błyskawiczna wysyłka, najwyższa jakość produktów i tysiące zadowolonych klientów - to nasz standard. 💙

Nie czekaj, zamów teraz i przekonaj się sam! 👉 https://koszulkowy.pl/",2026-01-01,2026-01-31
"Najlepszy Dziadek - 16042",inactive,ad,"CKW Babcia Dziadek BS Konkurencji - 12/01 MIN 20zł","Najlepszy Dziadek - 16042","7-day click or 1-day view",174.65,7,638.3,24.95,91.56780488,"Website purchases conversion value",3.65473805,91.18571429,3.13901345,4.24242424,49,4829.31,3.56428571,16,968.8,10.915625,165,,165,1.05848485,0.73991031,223,0.78318386,1.27087251,0,,9.95326836,Average,Average,Average,https://koszulkowy.pl/16042-najlepszy-dziadek.html,"Najlepszy Dziadek 😊❤️
Podaruj wyjątkową koszulkę najlepszemu dziadkowi na świecie! 🌏🎁 
Kup teraz ✅ https://koszulkowy.pl/16042-najlepszy-dziadek.html",2026-01-01,2026-01-31
"Babcia i dziadek - VIDEO UNBOXING KOLEKCJA – kopia",not_delivering,ad,"Advantage+ Best Babcia i Dziadek Zestaw reklam","Babcia i dziadek - VIDEO UNBOXING KOLEKCJA – kopia","7-day click or 1-day view",169.39,1,153.8,169.39,-105.24414634,"Website purchases conversion value",0.90796387,153.8,0.3968254,1.07526882,10,1665.2,16.939,14,949.5,12.09928571,93,,93,1.82139785,0.94897959,252,0.67218254,1.17614114,0.20997853,0.16070238,7.90581536,Average,"Above average",Average,https://fb.com/canvas_doc/707053287616029,"Sprawdź pełną ofertę dla Babci i Dziadka 💝
👉 https://koszulkowy.pl/
Zamów i przekonaj się dlaczego nas chwalą :)",2026-01-01,2026-01-31
"Film - 33691 łzy pracowników",active,ad,"11.Pragmatyczny Śmieszek__140_70_PL","Film - 33691 łzy pracowników","7-day click, 1-day view or 1-day engaged view",166.03,14,1305.05,11.85928571,378.27134146,"Website purchases conversion value",7.86032645,93.21785714,5.09090909,8.80503145,78,8838.04,2.12858974,25,1573.61,6.6412,159,,159,1.04421384,0.57818182,275,0.60374545,0.85883823,0.07676452,0.24979658,5.18519675,Average,Average,Average,https://koszulkowy.pl/33691-lez-pracownikow-swieczka.html,"Szukasz prezentu dla szefa z dystansem? 😎
Ta świeca to absolutny hit! Zapach łez Twoich pracowników gwarantuje wybuch śmiechu już przy otwarciu pudełka 😂
Idealnie sarkastyczna, idealnie biurowa, idealnie trafiona.
Sprawdź 👉 https://koszulkowy.pl/33691-lez-pracownikow-swieczka.html",2026-01-01,2026-01-31
"Zajęty nauczycielka 5409 – kopia – kopia",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Zajęty nauczycielka 5409 – kopia – kopia","7-day click, 1-day view or 1-day engaged view",162.15,4,268.69,40.5375,-50.08660976,"Website purchases conversion value",1.65704595,67.1725,0.86580087,0.93896714,30,2380.29,5.405,21,1360.79,7.72142857,426,,426,0.3806338,0.92207792,462,0.35097403,1.60160854,0,,5.62122998,Average,"Above average","Above average",https://koszulkowy.pl/5409-przykro-mi-jestem-juz-zajety.html,"Przykro mi - jestem już zajęty przez atrakcyjną nauczycielkę 👩‍🏫💞
Nie przegap okazji!👕❗
Kup teraz ➡️  https://koszulkowy.pl/5409-przykro-mi-jestem-juz-zajety.html",2026-01-01,2026-01-31
"LINK - Ranczo Rolka",inactive,ad,"8.Pragmatyczny Śmieszek__80_ 70_PL","LINK - Ranczo Rolka","7-day click, 1-day view or 1-day engaged view",161.61,4,316.79,40.4025,-29.48539024,"Website purchases conversion value",1.96021286,79.1975,2.53164557,2.87769784,21,2986.27,7.69571429,28,1587.3,5.77178571,139,,139,1.16266187,0.87974684,158,1.0228481,0.44883813,0.14348617,0.2643041,4.59093233,Average,"Above average","Above average",https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo,"To tylko sny, szalone sny... 🌸

Wilkowyje to nie tylko Lucy, Czerepach i Kusy – to klimat, którego się nie zapomina. Każdy, kto oglądał Ranczo, wie, że te teksty i sytuacje to czyste złoto. 😂

Dlatego nasze produkty inspirowane serialem to obowiązkowy gadżet dla fanów – trochę nostalgii, trochę humoru i sporo wspomnień z najlepszych czasów polskiej telewizji. 😊📺

Zobacz więcej 👉 https://koszulkowy.pl/1069-koszulki-i-gadzety-dla-fanow-serialu-ranczo",2026-01-01,2026-01-31
"1670 Karuzela Baner – kopia",inactive,ad,"8.Pragmatyczny Śmieszek__80_ 70_PL","1670 Karuzela Baner – kopia","7-day click, 1-day view or 1-day engaged view",160.46,3,192.79,53.48666667,-80.05246341,"Website purchases conversion value",1.20148324,64.26333333,0.79787234,1.09090909,24,1227.58,6.68583333,23,821.38,6.97652174,275,,275,0.58349091,0.73726542,376,0.42675532,0.81514081,0,,3.47865675,Average,"Above average","Above average",https://koszulkowy.pl/1095-koszulki-i-gadzety-dla-fanow-serialu-1670,"🎉 Dni Adamczychy! 🎉 Świętujemy razem z Wami – czekają wyjątkowe Okazje, Promocje i Rabaty tylko teraz! https://koszulkowy.pl/1095-koszulki-i-gadzety-dla-fanow-serialu-1670 🔥",2026-01-01,2026-01-31
"Świece karuzela Multifota 15.10",inactive,ad,"5.Pragmatyczny Śmieszek_100_42_PL","Świece karuzela Multifota 15.10","7-day click, 1-day view or 1-day engaged view",156.61,2,153.81,78.305,-92.45997561,"Website purchases conversion value",0.98212119,76.905,0.3030303,0.36101083,16,1368.46,9.788125,21,1357.59,7.45761905,554,,554,0.28268953,0.85891473,660,0.23728788,1.79753248,0.00038129,0.07142857,4.26532669,-,-,-,https://koszulkowy.pl/1068-swiece-zapachowe,"🔥 Świeczki, które mają charakter! 🔥

Nie każda świeca musi być nudna i różana. Nasze wzory to coś więcej – to świeczki dla ludzi z pasją.

👷‍♂️ Dla elektryków – z błyskiem humoru i energii.
🏍️ Dla motocyklistów – z nutą wolności i przygody.
🎁 Idealne na prezent dla znajomych z branży albo po prostu jako wyjątkowy gadżet do domu czy garażu.

To nie tylko zapach, ale styl i osobowość zamknięta w szkle.
👉 Sprawdź całą kolekcję tutaj: https://koszulkowy.pl/1068-swiece-zapachowe",2026-01-01,2026-01-31
